fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_harshbargerd,results_walsinghamb,results_holders,results_absentee_harshbargerd,results_absentee_walsinghamb,results_absentee_holders,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
47019,Carter,23695,11994,21,22,Released as a precinct as first report of the night,100,23695,>98%,>98% reported,edison,6,all,13611,18397,4565,733,8745,2899,350,2020-11-11T03:25:11Z,58.37518,R+58,Harshbarger +58,republican,TN-G-H-1-2020-11-03,tn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",304651,68746,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,201,206,98% reporting,98%,99,308000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:09Z,FALSE,52.39668,159627,R+52,Harshbarger +52,republican,"","",0,0,1604455070223
47029,Cocke,13449,0,18,19,Other,96,14046,96%,96% reported,edison,2,unknown,8249,10790,2198,461,0,0,0,2020-11-11T03:25:13Z,63.88579,R+64,Harshbarger +64,republican,TN-G-H-1-2020-11-03,tn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",304651,68746,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,201,206,98% reporting,98%,99,308000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:09Z,FALSE,52.39668,159627,R+52,Harshbarger +52,republican,"","",0,0,1604455070223
47059,Greene,27176,27176,16,17,Released as a precinct as first report of the night,100,27176,>98%,>98% reported,edison,6,all,13642,21295,5198,683,21295,5198,683,2020-11-11T03:25:16Z,59.23241,R+59,Harshbarger +59,republican,TN-G-H-1-2020-11-03,tn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",304651,68746,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,201,206,98% reporting,98%,99,308000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:09Z,FALSE,52.39668,159627,R+52,Harshbarger +52,republican,"","",0,0,1604455070223
47063,Hamblen,23077,0,15,16,Released as a separate subtotal as first report of the night,97,23894,97%,97% reported,edison,4,some,13898,17402,5107,568,0,0,0,2020-11-11T03:25:18Z,53.27816,R+53,Harshbarger +53,republican,TN-G-H-1-2020-11-03,tn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",304651,68746,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,201,206,98% reporting,98%,99,308000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:09Z,FALSE,52.39668,159627,R+52,Harshbarger +52,republican,"","",0,0,1604455070223
47067,Hancock,2421,0,7,7,Released as a precinct as first report of the night,94,2587,94%,94% reported,edison,2,unknown,1141,2043,330,48,0,0,0,2020-11-11T03:25:20Z,70.75589,R+71,Harshbarger +71,republican,TN-G-H-1-2020-11-03,tn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",304651,68746,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,201,206,98% reporting,98%,99,308000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:09Z,FALSE,52.39668,159627,R+52,Harshbarger +52,republican,"","",0,0,1604455070223
47073,Hawkins,23354,0,19,20,Released as a separate subtotal as first report of the night,97,24056,97%,97% reported,edison,2,unknown,14007,18572,4075,707,0,0,0,2020-11-11T03:25:20Z,62.07502,R+62,Harshbarger +62,republican,TN-G-H-1-2020-11-03,tn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",304651,68746,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,201,206,98% reporting,98%,99,308000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:09Z,FALSE,52.39668,159627,R+52,Harshbarger +52,republican,"","",0,0,1604455070223
47089,Jefferson,4467,0,2,2,Released as a separate subtotal as first report of the night,100,4411,>98%,>98% reported,edison,2,unknown,13703,3664,682,121,0,0,0,2020-11-11T03:25:21Z,66.75621,R+67,Harshbarger +67,republican,TN-G-H-1-2020-11-03,tn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",304651,68746,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,201,206,98% reporting,98%,99,308000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:09Z,FALSE,52.39668,159627,R+52,Harshbarger +52,republican,"","",0,0,1604455070223
47091,Johnson,7286,0,10,10,Released as a separate subtotal as first report of the night,96,7617,96%,96% reported,edison,2,unknown,5107,5868,1211,207,0,0,0,2020-11-11T03:25:22Z,63.9171,R+64,Harshbarger +64,republican,TN-G-H-1-2020-11-03,tn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",304651,68746,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,201,206,98% reporting,98%,99,308000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:09Z,FALSE,52.39668,159627,R+52,Harshbarger +52,republican,"","",0,0,1604455070223
47155,Sevier,41995,26029,25,25,Released as a separate subtotal as first report of the night,100,41995,>98%,>98% reported,edison,6,some,21134,32830,8015,1150,20058,5393,578,2020-11-11T03:25:23Z,59.09037,R+59,Harshbarger +59,republican,TN-G-H-1-2020-11-03,tn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",304651,68746,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,201,206,98% reporting,98%,99,308000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:09Z,FALSE,52.39668,159627,R+52,Harshbarger +52,republican,"","",0,0,1604455070223
47163,Sullivan,72546,0,25,25,Released as a separate subtotal as first report of the night,100,71971,>98%,>98% reported,edison,2,unknown,48525,53184,17344,2018,0,0,0,2020-11-11T03:25:25Z,49.40314,R+49,Harshbarger +49,republican,TN-G-H-1-2020-11-03,tn-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-tennessee.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-tennessee.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,TN,tennessee,Tennessee,Tenn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",304651,68746,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,201,206,98% reporting,98%,99,308000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:09Z,FALSE,52.39668,159627,R+52,Harshbarger +52,republican,"","",0,0,1604455070223
