fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_rosendalem,results_williamsk,results_absentee_rosendalem,results_absentee_williamsk,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
30001,Beaverhead,5628,0,16,16,Merged into voters' home precincts AFTER election night,100,5628,>98%,>98% reported,edison,8,all,4174,3811,1817,0,0,2020-11-19T21:03:19Z,35.42999,R+35,Rosendale +35,republican,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:21:33Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,"","",0,0,1604473773708
30003,Big Horn,4784,0,19,19,Released as a separate subtotal as first report of the night,100,4784,>98%,>98% reported,edison,8,some,2040,2103,2681,0,0,2020-11-19T21:42:45Z,12.08194,D+12,Williams +12,democrat,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:21:33Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,"","",0,0,1604473773708
30005,Blaine,3098,0,8,8,Merged into voters' home precincts AFTER election night,100,3098,>98%,>98% reported,edison,8,all,1576,1391,1707,0,0,2020-11-19T18:37:24Z,10.20013,D+10,Williams +10,democrat,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:21:33Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,"","",0,0,1604473773708
30007,Broadwater,4085,0,5,5,Merged into voters' home precincts and released with cumulative results,100,4085,>98%,>98% reported,edison,8,all,2206,3150,935,0,0,2020-11-19T21:43:05Z,54.22277,R+54,Rosendale +54,republican,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:21:33Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,"","",0,0,1604473773708
30009,Carbon,7055,0,13,13,Merged into voters' home precincts and released with cumulative results,100,7055,>98%,>98% reported,edison,8,all,4579,4465,2590,0,0,2020-11-19T21:43:25Z,26.5769,R+27,Rosendale +27,republican,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:21:33Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,"","",0,0,1604473773708
30011,Carter,854,0,4,4,Merged into voters' home precincts and released with cumulative results,100,854,>98%,>98% reported,edison,8,unknown,414,758,96,0,0,2020-11-16T15:48:19Z,77.51756,R+78,Rosendale +78,republican,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:21:33Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,"","",0,0,1604473773708
30013,Cascade,39767,0,23,23,Merged into voters' home precincts and released with cumulative results,100,39767,>98%,>98% reported,edison,8,all,42859,22724,17043,0,0,2020-11-19T21:57:36Z,14.28571,R+14,Rosendale +14,republican,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:21:33Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,"","",0,0,1604473773708
30015,Chouteau,2960,0,9,9,Merged into voters' home precincts and released with cumulative results,100,2960,>98%,>98% reported,edison,8,all,2205,1820,1140,0,0,2020-11-19T21:44:00Z,22.97297,R+23,Rosendale +23,republican,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:21:33Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,"","",0,0,1604473773708
30017,Custer,5845,0,14,14,Merged into voters' home precincts AFTER election night,100,5845,>98%,>98% reported,edison,8,unknown,3874,4072,1773,0,0,2020-11-19T21:44:15Z,39.33276,R+39,Rosendale +39,republican,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:21:33Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,"","",0,0,1604473773708
30019,Daniels,1015,0,4,4,Merged into voters' home precincts and released with cumulative results,100,1015,>98%,>98% reported,edison,8,unknown,595,786,229,0,0,2020-11-16T15:48:21Z,54.87685,R+55,Rosendale +55,republican,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:21:33Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,"","",0,0,1604473773708
