fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_delgadoa,results_van_de_waterk,results_alexanderv,results_greenfields,results_write_ins,results_absentee_delgadoa,results_absentee_van_de_waterk,results_absentee_alexanderv,results_absentee_greenfields,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
36007,Broome,1018,173,2,2,Merged into voters' home precincts AFTER election night,95,1074,95%,95% reported,edison,4,some,422,574,17,5,0,118,49,4,2,0,2020-11-24T13:23:29Z,14.93124,R+15,Van De Water +15,republican,NY-G-H-19-2020-11-03,ny-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,likely-dem,19,District 19,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",308864,173,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,527,611,86% reporting,86%,87,355000,edison,87%,87% reported,edison,democrat,FALSE,2020-11-28T14:13:01Z,TRUE,6.28238,19404,D+6,Delgado +6,democrat,FALSE,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1605750748162
36021,Columbia,34631,0,50,50,Merged into voters' home precincts AFTER election night,100,33946,>98%,>98% reported,edison,2,some,21131,12903,374,223,0,0,0,0,0,0,2020-11-24T14:01:21Z,23.75906,D+24,Delgado +24,democrat,NY-G-H-19-2020-11-03,ny-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,likely-dem,19,District 19,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",308864,173,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,527,611,86% reporting,86%,87,355000,edison,87%,87% reported,edison,democrat,FALSE,2020-11-28T14:13:01Z,TRUE,6.28238,19404,D+6,Delgado +6,democrat,FALSE,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1605750748162
36025,Delaware,22166,0,55,55,Merged into voters' home precincts AFTER election night,100,21752,>98%,>98% reported,edison,2,unknown,9923,11528,253,149,313,0,0,0,0,0,2020-11-28T14:13:00Z,7.24082,R+7,Van De Water +7,republican,NY-G-H-19-2020-11-03,ny-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,likely-dem,19,District 19,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",308864,173,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,527,611,86% reporting,86%,87,355000,edison,87%,87% reported,edison,democrat,FALSE,2020-11-28T14:13:01Z,TRUE,6.28238,19404,D+6,Delgado +6,democrat,FALSE,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1605750748162
36027,Dutchess,47973,0,73,93,Merged into voters' home precincts AFTER election night,100,47546,>98%,>98% reported,edison,6,all,23489,23633,512,262,77,0,0,0,0,0,2020-11-24T13:23:26Z,0.30017,R+0.30,Van De Water +0.30,republican,NY-G-H-19-2020-11-03,ny-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,likely-dem,19,District 19,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",308864,173,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,527,611,86% reporting,86%,87,355000,edison,87%,87% reported,edison,democrat,FALSE,2020-11-28T14:13:01Z,TRUE,6.28238,19404,D+6,Delgado +6,democrat,FALSE,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1605750748162
36039,Greene,20054,0,44,52,Merged into voters' home precincts AFTER election night,84,23939,84%,84% reported,edison,4,none,8526,11047,236,129,116,0,0,0,0,0,2020-11-24T13:23:31Z,12.57106,R+13,Van De Water +13,republican,NY-G-H-19-2020-11-03,ny-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,likely-dem,19,District 19,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",308864,173,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,527,611,86% reporting,86%,87,355000,edison,87%,87% reported,edison,democrat,FALSE,2020-11-28T14:13:01Z,TRUE,6.28238,19404,D+6,Delgado +6,democrat,FALSE,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1605750748162
36057,Montgomery,5111,0,5,6,Merged into voters' home precincts AFTER election night,100,5111,>98%,>98% reported,edison,6,all,1948,3072,58,26,7,0,0,0,0,0,2020-11-24T13:23:32Z,21.99178,R+22,Van De Water +22,republican,NY-G-H-19-2020-11-03,ny-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,likely-dem,19,District 19,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",308864,173,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,527,611,86% reporting,86%,87,355000,edison,87%,87% reported,edison,democrat,FALSE,2020-11-28T14:13:01Z,TRUE,6.28238,19404,D+6,Delgado +6,democrat,FALSE,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1605750748162
36077,Otsego,26694,0,46,49,Merged into voters' home precincts AFTER election night,95,28133,95%,95% reported,edison,2,unknown,13996,10843,381,194,1280,0,0,0,0,0,2020-11-24T13:23:32Z,11.81164,D+12,Delgado +12,democrat,NY-G-H-19-2020-11-03,ny-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,likely-dem,19,District 19,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",308864,173,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,527,611,86% reporting,86%,87,355000,edison,87%,87% reported,edison,democrat,FALSE,2020-11-28T14:13:01Z,TRUE,6.28238,19404,D+6,Delgado +6,democrat,FALSE,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1605750748162
36083,Rensselaer,35735,0,39,40,Merged into voters' home precincts AFTER election night,98,36412,98%,98% reported,edison,2,unknown,17525,17350,526,280,54,0,0,0,0,0,2020-11-24T13:23:33Z,0.48972,D+0.49,Delgado +0.49,democrat,NY-G-H-19-2020-11-03,ny-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,likely-dem,19,District 19,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",308864,173,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,527,611,86% reporting,86%,87,355000,edison,87%,87% reported,edison,democrat,FALSE,2020-11-28T14:13:01Z,TRUE,6.28238,19404,D+6,Delgado +6,democrat,FALSE,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1605750748162
36095,Schoharie,15164,0,23,23,Merged into voters' home precincts AFTER election night,98,15402,98%,98% reported,edison,2,unknown,6629,8102,259,107,67,0,0,0,0,0,2020-11-24T13:23:33Z,9.7138,R+10,Van De Water +10,republican,NY-G-H-19-2020-11-03,ny-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,likely-dem,19,District 19,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",308864,173,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,527,611,86% reporting,86%,87,355000,edison,87%,87% reported,edison,democrat,FALSE,2020-11-28T14:13:01Z,TRUE,6.28238,19404,D+6,Delgado +6,democrat,FALSE,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1605750748162
36105,Sullivan,24885,0,55,73,Merged into voters' home precincts AFTER election night,75,33008,75%,75% reported,edison,2,unknown,12248,12198,264,175,,0,0,0,0,,2020-11-24T13:23:33Z,0.20092,D+0.20,Delgado +0.20,democrat,NY-G-H-19-2020-11-03,ny-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,likely-dem,19,District 19,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",308864,173,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,527,611,86% reporting,86%,87,355000,edison,87%,87% reported,edison,democrat,FALSE,2020-11-28T14:13:01Z,TRUE,6.28238,19404,D+6,Delgado +6,democrat,FALSE,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1605750748162
36111,Ulster,75433,0,135,168,Merged into voters' home precincts AFTER election night,81,93656,81%,81% reported,edison,2,unknown,44323,29506,872,732,,0,0,0,0,,2020-11-24T13:23:34Z,19.6426,D+20,Delgado +20,democrat,NY-G-H-19-2020-11-03,ny-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,likely-dem,19,District 19,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",308864,173,1,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,527,611,86% reporting,86%,87,355000,edison,87%,87% reported,edison,democrat,FALSE,2020-11-28T14:13:01Z,TRUE,6.28238,19404,D+6,Delgado +6,democrat,FALSE,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1605750748162
